movieId,title
tt0118688,Batman & Robin (1997)
tt0094721,Beetlejuice (1988)
tt0120601,Being John Malkovich (1999)
tt0067023,Duel (TV Movie 1971)
tt0265086,Black Hawk Down (2001)
tt0083658,Blade Runner (1982)
tt0071230,Blazing Saddles (1974)
tt0080455,The Blues Brothers (1980)
tt0103874,Bram Stoker's Dracula (1992)
tt0112573,Braveheart (1995)
tt0082533,The Howling (1981)
tt0346491,Alexander (2004)
tt0289879,The Butterfly Effect (2004)
tt0338751,The Aviator (2004)
tt0217505,Gangs of New York (2002)
tt0285742,Monster's Ball (2001)
tt0372588,Team America: World Police (2004)
tt0034583,Casablanca (1942)
tt0257106,Scary Movie 2 (2001)
tt0086250,Scarface (1983)
tt0120655,Dogma (1999)
tt0082495,Halloween II (1981)
tt0343660,50 First Dates (2004)
tt0293508,The Phantom of the Opera (2004)
tt0405159,Million Dollar Baby (2004)
tt0299977,Hero (2002)
tt0120804,Resident Evil (2002)
tt0317740,The Italian Job (2003)
tt0304141,Harry Potter and the Prisoner of Azkaban (2004)
tt0264464,Catch Me If You Can (2002)
tt0296572,The Chronicles of Riddick (2004)
tt0118880,Con Air (1997)
tt0316654,Spider-Man 2 (2004)
tt0111161,The Shawshank Redemption (1994)
tt0117060,Mission: Impossible (1996)
tt0317705,The Incredibles (2004)
tt0120755,Mission: Impossible II (2000)
tt0307987,Bad Santa (2003)
tt0162222,Cast Away (2000)
tt0305224,Anger Management (2003)
tt0333766,Garden State (2004)
tt0295701,xXx (2002)
tt0038355,The Big Sleep (1946)
tt0187738,Blade II (2002)
tt0120338,Titanic (1997)
tt0118884,Contact (1997)
tt0363163,Downfall (2004)
tt0067116,The French Connection (1971)
tt0327554,Catwoman (2004)
tt0286106,Signs (2002)
tt0120382,The Truman Show (1998)
tt0120815,Saving Private Ryan (1998)
tt0374900,Napoleon Dynamite (2004)
tt0363547,Dawn of the Dead (2004)
tt0146882,High Fidelity (2000)
tt0338013,Eternal Sunshine of the Spotless Mind (2004)
tt0123755,Cube (1997)
tt0263488,Jeepers Creepers (2001)
tt0349903,Ocean's Twelve (2004)
tt0120347,Tomorrow Never Dies (1997)
tt0118971,The Devil's Advocate (1997)
tt0295700,Wrong Turn (2003)
tt0118655,Austin Powers: International Man of Mystery (1997)
tt0374102,Open Water (2003)
tt0095016,Die Hard (1988)
tt0246578,Donnie Darko (2001)
tt0109686,Dumb and Dumber (1994)
tt0319061,Big Fish (2003)
tt0104257,A Few Good Men (1992)
tt0070917,The Wicker Man (1973)
tt0013442,Nosferatu (1922)
tt0266697,Kill Bill: Vol. 1 (2003)
tt0378194,Kill Bill: Vol. 2 (2004)
tt0335345,The Passion of the Christ (2004)
tt0328107,Man on Fire (2004)
tt0376541,Closer (2004)
tt0116367,From Dusk Till Dawn (1996)
tt0106977,The Fugitive (1993)
tt0172495,Gladiator (2000)
tt0058150,Goldfinger (1964)
tt0234215,The Matrix Reloaded (2003)
tt0318627,Resident Evil: Apocalypse (2004)
tt0332452,Troy (2004)
tt0241527,Harry Potter and the Sorcerer's Stone (2001)
tt0295297,Harry Potter and the Chamber of Secrets (2002)
tt0118583,Alien: Resurrection (1997)
tt0266543,Finding Nemo (2003)
tt0167190,Hellboy (2004)
tt0091209,The Hitcher (1986)
tt0071853,Monty Python and the Holy Grail (1975)
tt0107048,Groundhog Day (1993)
tt0343818,"I, Robot (2004)"
tt0116629,Independence Day (1996)
tt0097576,Indiana Jones and the Last Crusade (1989)
tt0082971,Indiana Jones and the Raiders of the Lost Ark (1981)
tt0116996,Mars Attacks! (1996)
tt0062622,2001: A Space Odyssey (1968)
tt0073195,Jaws (1975)
tt0070328,Live and Let Die (1973)
tt0076752,The Spy Who Loved Me (1977)
tt0246460,Die Another Day (2002)
tt0078748,Alien (1979)
tt0090605,Aliens (1986)
tt0103644,Alien³ (1992)
